date,key,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested
2020-09-24,GW,21,0,,,2324,39,,
2020-09-24,GY,98,1,,,2535,69,,
2020-09-24,HN,369,16,,,72675,2222,,
2020-09-24,HT,0,0,,,8646,225,,
2020-09-24,HU,927,9,,11116,22127,718,,668553
2020-09-24,IM,0,0,,,340,24,,
2020-09-24,JE,1,0,,,399,32,,
2020-09-24,JM,193,1,,,5588,77,,
2020-09-24,JO,549,1,,,6591,36,,78885
2020-09-24,KE,141,5,,3874,37489,669,,523998
2020-09-24,KG,175,0,,,45932,1063,,
2020-09-24,KM,0,0,,,470,7,,
2020-09-24,KN,0,0,,,19,0,,
2020-09-24,KP,0,0,,,0,0,,
2020-09-24,KY,0,0,,,210,1,,
2020-09-24,KZ,292,0,,9474,139581,2043,,2733455
2020-09-24,LA,0,0,,,23,0,,
2020-09-24,LC,0,0,,,27,0,,
2020-09-24,LI,0,0,,,117,1,,
2020-09-24,LR,1,0,,,1338,82,,
2020-09-24,LS,47,0,,,1554,35,,
2020-09-24,LV,22,0,,2431,1594,36,,306652
2020-09-24,LY,535,5,,3461,30632,474,,197575
2020-09-24,MA,2356,38,,23504,110099,1956,,2457373
2020-09-24,MD,721,8,,,48953,1252,,
2020-09-24,ME,0,0,,,9906,154,,
2020-09-24,MG,24,1,,223,16191,227,,68787
2020-09-24,ML,7,0,,,3041,130,,
2020-09-24,MM,688,25,,3977,8515,155,,220187
2020-09-24,MN,0,0,,,313,0,,
2020-09-24,MP,0,0,,,69,2,,
2020-09-24,MQ,0,0,,,1290,20,,
2020-09-24,MR,8,0,,,7433,161,,
2020-09-24,MS,0,0,,,13,1,,
2020-09-24,MT,41,2,,2043,2898,27,,207168
2020-09-24,MU,0,0,,,367,10,,
2020-09-24,MV,54,0,,1098,9939,34,,143472
2020-09-24,MW,1,0,,369,5747,179,,50989
2020-09-24,MZ,137,2,,1255,7399,51,,130060
2020-09-24,NC,0,0,,,26,0,,
2020-09-24,NE,0,0,,,1193,69,,
2020-09-24,NI,0,0,,,4065,149,,
2020-09-24,NU,0,0,,,0,0,,
2020-09-24,PA,706,6,,4543,107990,2291,,438699
2020-09-24,PE,6149,302,,6525,782695,31870,,630521
2020-09-24,PF,0,0,,,1469,5,,
2020-09-24,PG,0,0,,,531,7,,
2020-09-24,PL,1136,25,,23370,82809,2369,,3071718
2020-09-24,PN,0,0,,,0,0,,
2020-09-24,PR,1182,10,,,43842,627,,
2020-09-24,PS,713,5,,5028,47830,322,,
2020-09-24,PT,691,3,335,23305,71156,1931,30049,2458397
2020-09-24,PW,0,0,,,0,0,,
2020-09-24,PY,743,22,,2061,35571,727,,252943
2020-09-24,RE,0,0,,,3501,11,,
2020-09-24,RS,83,1,,6663,33163,745,,1099022
2020-09-24,RW,10,0,,1631,4789,27,,479010
2020-09-24,SA,498,30,,46037,331857,4599,,6236859
2020-09-24,SB,0,0,,,0,0,,
2020-09-24,SC,0,0,,,139,0,,
2020-09-24,SD,14,0,,,13592,836,,
2020-09-24,SH,0,0,,,0,0,,
2020-09-24,SI,192,0,11,3645,5007,145,474,212756
2020-09-24,SK,360,0,,5540,7629,41,,433848
2020-09-24,SL,5,0,,,2188,72,,
2020-09-24,SN,21,1,,1005,14816,304,,178634
2020-09-24,SO,0,0,,,3465,98,,
2020-09-24,SR,20,1,,,4779,101,,
2020-09-24,SS,7,0,,,2676,49,,
2020-09-24,ST,2,0,,,910,15,,
2020-09-24,SV,247,4,,3434,28201,823,,374821
2020-09-24,SX,22,1,,,616,21,,
2020-09-24,SY,42,2,,,3966,183,,
2020-09-24,SZ,32,0,,,5375,108,,
2020-09-24,TC,4,0,,,676,5,,
2020-09-24,TD,7,0,,,1171,82,,
2020-09-24,TG,6,3,,790,1707,44,,86229
2020-09-24,TJ,45,0,,,9520,74,,
2020-09-24,TL,0,0,,,27,0,,
2020-09-24,TM,0,0,,,0,0,,
2020-09-24,TN,826,6,,2592,13305,180,,212620
2020-09-24,TR,1721,74,,113317,309790,7785,,9721687
2020-09-24,TT,176,0,,,4222,67,,
2020-09-24,TZ,0,0,,,509,21,,
2020-09-24,UA,3565,70,,27497,191671,3827,,2156653
2020-09-24,UG,185,1,,2636,7064,70,,463618
